orderid,unitno,modelid,evalcode,asample,prev,preva,oilchangelast,oilhours,PQI,Pb,Al,P,Ca,Zn,Cu,Si,Na,K,Mo,B,Fe,ST,V40,OXI,NIT,SUL
1,P,HME Model 1 type 3,A,1,2,0,1,252,0,0,1,848,2295,973,3,3,10,9,1,1,15,20,105.2,12,6,19
2,P,HME Model 1 type 3,B,0,2,0,1,264,0,0,2,923,2418,1016,4,3,11,12,1,1,14,19,105.5,12,6,20
3,P,HME Model 1 type 3,B,0,2,0,1,264,0,0,2,880,2296,1006,2,3,11,15,2,0,14,17,105.3,13,6,20
4,P,HME Model 1 type 3,B,0,2,0,1,262,0,0,2,785,2118,918,4,8,33,83,9,3,15,14,102.2,12,5,18
5,P,HME Model 1 type 3,B,0,2,0,0,520,1,0,2,784,2208,945,2,4,24,55,5,2,17,25,113.6,14,7,21
6,P,HME Model 1 type 3,B,0,1,1,1,289,2,2,2,903,2455,1042,2,5,16,35,3,3,23,26,110.3,11,6,19
7,P,HME Model 1 type 3,B,0,1,1,1,276,0,0,2,832,2207,959,3,6,22,48,6,3,19,29,111.4,12,6,19
8,P,HME Model 1 type 3,A,1,1,1,1,244,1,0,2,854,2195,951,2,2,6,9,3,3,14,20,113.4,13,6,20
9,P,HME Model 1 type 3,A,1,1,1,1,214,3,0,2,888,2314,991,1,3,5,5,0,2,16,23,110.6,12,6,20
10,P,HME Model 1 type 3,A,1,2,0,1,295,3,0,1,894,2250,990,1,2,5,2,0,2,18,28,111.8,12,6,19
11,P,HME Model 1 type 3,B,0,1,1,1,214,0,0,1,836,2119,937,0,1,5,3,1,4,10,23,110.5,12,6,19
12,P,HME Model 1 type 3,A,1,2,0,1,247,0,0,1,938,2501,1045,2,3,6,1,1,6,8,15,113.3,12,6,20
13,P,HME Model 1 type 3,B,0,3,0,1,269,0,0,2,836,2215,979,3,2,5,3,1,6,15,27,110.6,13,7,20
14,P,HME Model 1 type 3,C,0,3,0,1,189,0,0,2,943,2479,1074,1,3,5,3,0,1,17,20,111.5,12,6,20
